TimeStamp,FamilyCode,ExternalConnected,AppleRawExternalConnected,ChargingOverride,NotChargingReason,VacVoltageLimit
2023-02-20 02:30:27,,1,1,,0,4450
2023-02-20 02:32:41,-536854518,0,1,0,0,4450
2023-02-20 02:32:44,-536854524,1,1,0,128,4450
2023-02-20 02:32:49,-536854518,0,1,0,0,4450
2023-02-20 02:32:53,-536854524,1,1,0,1024,4450
2023-02-20 02:32:57,-536854521,0,1,0,1024,4450
2023-02-20 02:32:59,-536854521,1,1,0,128,4450
2023-02-20 02:33:20,-536854521,0,0,0,1024,4450
2023-02-20 02:33:23,-536854521,1,1,0,1024,4450
2023-02-20 02:33:30,-536854518,0,1,0,0,4450
2023-02-20 02:33:34,-536854524,1,1,0,128,4450
2023-02-20 02:33:38,-536854524,0,1,0,0,4450
2023-02-20 02:33:41,-536854521,1,1,0,128,4450
2023-02-20 02:37:46,-536854518,0,1,0,0,4450
2023-02-20 02:37:50,-536854524,1,1,0,1024,4450
2023-02-20 02:38:07,-536854521,0,1,0,128,4450
2023-02-20 02:38:09,-536854521,1,1,0,1024,4450
2023-02-20 02:38:17,-536854518,0,1,0,0,4450
2023-02-20 02:38:21,-536854524,1,1,0,1024,4450
2023-02-20 02:38:25,-536854521,0,1,0,1024,4450
2023-02-20 02:38:27,-536854521,1,1,0,128,4450
2023-02-20 02:42:41,-536854521,0,0,0,128,4450
2023-02-20 02:43:53,-536854521,1,1,0,128,4450
2023-02-20 02:43:58,-536854521,0,1,0,128,4450
2023-02-20 02:44:02,-536854518,1,1,0,0,4450
2023-02-20 02:49:42,-536854521,0,1,0,1024,4450
2023-02-20 02:49:45,-536854521,1,1,0,128,4450
2023-02-20 02:49:59,-536854524,0,1,0,0,4450
2023-02-20 02:50:01,-536854521,1,1,0,1024,4450
2023-02-20 02:50:07,-536854521,0,1,0,128,4450
2023-02-20 02:50:09,-536854521,1,1,0,1024,4450
2023-02-20 02:50:16,-536854518,0,1,0,0,4450
2023-02-20 02:50:21,-536854524,1,1,0,0,4450
2023-02-20 02:50:31,-536854518,0,1,0,0,4450
2023-02-20 02:50:35,-536854524,1,1,0,1024,4450
2023-02-20 02:50:52,-536854521,0,1,0,128,4450
2023-02-20 02:50:54,-536854521,1,1,0,128,4450
2023-02-20 02:51:28,-536854521,0,1,0,1024,4450
2023-02-20 02:51:30,-536854521,1,1,0,1024,4450
2023-02-20 02:51:48,-536854524,0,1,0,0,4450
2023-02-20 02:51:51,-536854521,1,1,0,1024,4450
2023-02-20 02:52:02,-536854518,0,1,0,0,4450
2023-02-20 02:52:05,-536854524,1,1,0,0,4450
