TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus
2023-02-19 03:51:00,15870,3,1,3429,402,408,3616,2,2000,1000,274,38921
2023-02-19 03:56:01,15392,5,1,4500,3221,3232,3767,5,1910,1000,90,38921
2023-02-19 04:01:01,15105,7,1,4729,3201,3196,3896,7,1856,1000,65,38922
2023-02-19 04:06:01,13800,15,1,5169,3638,3643,3994,15,1611,1000,49,38922
2023-02-19 04:11:01,12781,22,1,4569,1698,1697,3943,21,1420,1000,55,38922
2023-02-19 04:16:00,11684,28,1,4919,3159,3146,4029,28,1214,1000,61,38922
2023-02-19 04:21:01,10863,34,0,3989,-72,2,3837,33,1060,1000,79,38922
2023-02-19 04:26:01,10028,39,0,4050,0,1,3895,38,903,1000,66,38922
2023-02-19 04:31:01,9568,41,0,4300,0,5,3908,41,817,1000,55,38922
2023-02-19 04:36:01,9129,44,1,4469,1786,1840,4055,44,734,1000,51,38921
2023-02-19 04:41:00,8176,50,1,4550,2136,2138,4057,49,555,1000,38,38921
2023-02-19 04:46:00,7740,53,0,4109,-1128,-1063,3897,52,473,579,41,38921
2023-02-19 04:51:00,7189,56,0,4139,0,2,3979,56,370,1000,50,38921
2023-02-19 04:56:01,6873,58,0,4250,0,2,3994,58,311,1000,58,38921
2023-02-19 05:01:01,6703,59,0,4000,-553,-612,3941,59,279,1000,66,38923
2023-02-19 05:11:01,7199,58,0,3739,-626,-589,3873,55,372,1783,62,38921
2023-02-19 05:17:23,7279,57,0,3650,-61,-50,3863,55,387,1762,60,38921
2023-02-19 05:21:00,7440,56,0,3159,-670,-656,3851,53,417,1627,69,38921
2023-02-19 05:26:01,7733,54,0,3279,-622,-607,3823,51,472,1758,63,38922
2023-02-19 05:31:00,8030,52,0,3369,-922,-850,3821,50,528,1633,63,38912
2023-02-19 05:36:01,8440,50,0,3459,-622,-619,3814,47,583,1322,73,38917
2023-02-19 05:41:01,8718,48,0,3589,-600,-597,3799,45,638,1248,73,38922
2023-02-19 05:46:01,8994,46,0,3659,-625,-621,3788,44,693,1179,74,38912
2023-02-19 05:51:00,9294,44,0,3579,-609,-594,3781,42,754,1212,81,38921
2023-02-19 05:56:01,9568,42,0,3469,-641,-637,3739,40,810,1079,89,38922
2023-02-19 06:01:01,9821,40,0,3379,-538,-523,3771,39,860,1121,96,38913
2023-02-19 06:06:00,10082,39,0,3539,-685,-724,3765,37,907,1072,94,38918
2023-02-19 06:13:10,10166,38,0,3350,-584,-633,3803,37,918,845,101,38917
2023-02-19 06:21:01,10416,37,0,2819,-62,-58,3808,35,933,625,126,38917
2023-02-19 06:31:01,10479,36,0,2619,-63,-109,3806,35,946,675,137,38917
2023-02-19 06:54:05,10649,35,0,2459,-42,-100,3811,34,961,641,149,38917
2023-02-19 07:19:45,10740,34,0,2209,-64,-15,3750,33,971,550,169,36870
2023-02-19 07:50:42,10846,33,0,2169,-25,-15,3772,32,990,575,174,36870
2023-02-19 08:11:55,11023,32,0,2329,-52,-18,3710,31,1024,773,166,36868
2023-02-19 08:59:22,11159,31,0,2079,-47,-22,3804,31,1039,588,182,37893
2023-02-19 12:52:08,11371,30,0,2050,-82,-41,3799,29,1093,468,181,37893
2023-02-19 13:26:42,11501,29,0,2050,-31,-8,3787,29,1112,606,177,38916
2023-02-19 13:31:01,11612,28,0,2439,-116,-159,3749,28,1133,767,144,38916
2023-02-19 13:41:01,11893,27,0,2859,-479,-776,3756,26,1186,867,112,38921
2023-02-19 13:46:01,12007,26,0,2900,-188,-168,3748,25,1207,848,107,38923
2023-02-19 13:57:43,12215,25,0,2919,-38,-30,3754,24,1246,806,103,38920
2023-02-19 14:06:01,12350,24,0,2739,-201,-207,3747,23,1271,771,111,38920
2023-02-19 14:11:00,12457,23,0,2800,-205,-233,3720,22,1292,782,108,38922
2023-02-19 15:42:44,12573,22,0,2079,-49,-84,3764,22,1328,521,161,37897
2023-02-19 17:01:34,12688,21,0,2439,-60,-58,3754,21,1354,704,128,37899
2023-02-19 17:06:00,12972,19,0,2829,-754,-598,3681,18,1407,948,115,37900
2023-02-19 17:11:00,13276,17,0,3150,-780,-705,3661,17,1464,937,100,37894
2023-02-19 17:16:01,13595,15,0,3389,-882,-831,3632,15,1524,973,88,37896
2023-02-19 17:21:01,13899,14,0,3489,-646,-645,3657,13,1581,982,85,37890
2023-02-19 17:26:00,14198,12,0,3529,-641,-605,3650,11,1638,992,82,37893
2023-02-19 17:31:01,14508,10,0,3550,-650,-651,3632,9,1696,1011,86,37900
2023-02-19 17:36:01,14799,8,0,3550,-668,-648,3623,7,1752,965,98,37894
2023-02-19 17:41:00,15120,6,0,3629,-636,-621,3612,5,1813,936,109,37900
2023-02-19 17:46:01,15452,4,0,3689,-856,-610,3588,3,1879,728,138,37893
2023-02-19 17:51:01,15765,2,0,3700,-793,-742,3535,1,1944,341,209,37902
2023-02-19 17:56:00,15930,1,0,3739,-585,-566,3428,1,2004,375,321,37889
